Year,"BirthRate, Crude (per 1,000 people)"
1960,31.8042302
1961,31.08560415
1962,34.93783345
1963,36.11062702
1964,35.00233795
1965,34.38696213
1966,33.35626341
1967,33.08887135
1968,33.23523889
1969,32.72486222
1970,32.4303824
1971,31.62905161
1972,31.13118928
1973,30.51125014
1974,29.66405343
1975,29.03703158
1976,28.1995326
1977,27.87018989
1978,27.59479812
1979,27.45134825
1980,27.45414734
1981,27.91957667
1982,28.11627385
1983,27.50916857
1984,27.24185335
1985,27.27186866
1986,27.34757654
1987,27.28844032
1988,26.80054525
1989,26.28047624
1990,25.88175876
1991,25.21350973
1992,24.57782269
1993,24.17494254
1994,23.79451777
1995,23.35586139
1996,23.0645649
1997,22.73243721
1998,22.31801147
1999,21.89147068
2000,21.63073756
2001,21.28722256
2002,21.04189012
2003,20.82423988
2004,20.67699001
2005,20.55094411
2006,20.41019583
2007,20.33000163
2008,20.23502051
2009,20.05887293
2010,19.85398508
2011,19.6863594
2012,19.58299527
2013,19.38135892
2014,19.30018037
2015,19.07853278
2016,18.88612894
2017,
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,
