Year,"DeathRate, Crude (per 1,000 people)"
1960,17.74142813
1961,15.0235819
1962,13.97258104
1963,13.74926932
1964,13.79705975
1965,13.20503553
1966,12.85596192
1967,12.58692808
1968,12.44128888
1969,12.24528486
1970,11.96903738
1971,11.73389817
1972,11.63941445
1973,11.39672165
1974,11.28827218
1975,11.14428896
1976,10.9879994
1977,10.7239689
1978,10.47334936
1979,10.30683182
1980,10.26925965
1981,10.1126515
1982,10.0286812
1983,10.02736231
1984,9.903937244
1985,9.792537813
1986,9.65135322
1987,9.51724511
1988,9.41241586
1989,9.285408129
1990,9.239409978
1991,9.175276763
1992,9.08786288
1993,9.103835234
1994,9.011663419
1995,8.951000141
1996,8.838725358
1997,8.731860193
1998,8.642967169
1999,8.602240984
2000,8.528899349
2001,8.453437313
2002,8.395941959
2003,8.36652392
2004,8.23282786
2005,8.20924818
2006,8.141088136
2007,8.078090515
2008,8.035737963
2009,7.931152937
2010,7.876908498
2011,7.803571774
2012,7.762807479
2013,7.707842938
2014,7.65706014
2015,7.659579975
2016,7.648626491
2017,
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,
