Year,MPopulation0_4,MPopulation5_9,MPopulation10_14,MPopulation15_19,MPopulation20_24,MPopulation25_29,MPopulation30_34,MPopulation35_39,MPopulation40_44,MPopulation45_49,MPopulation50_54,MPopulation55_59,MPopulation60_64,MPopulation65_69,MPopulation70_74,MPopulation75_79,MPopulation80Plus,OverallMalePopulation
1960,220800695,195301515,157900726,131854769,126777807,115296990,106299956,91041771,77464921,73250750,63478503,52438781,39639943,28238214,18878948,10477798,6703196,1515845283
1961,221112996,199807479,163698991,133932902,126656998,116366032,107388793,93129148,78159832,72893812,64144854,53095629,40394105,28618482,19130993,10829533,7178178,1536538757
1962,225021766,203123774,170365609,137422328,126154357,118106586,108257414,95531433,79698410,72363062,65085608,53843974,41317592,29129722,19330822,11151767,7518712,1563422936
1963,231595875,205350358,177819595,142339926,125865121,120322917,109215723,98167195,81988334,72008778,66197395,54775726,42404086,29807593,19548512,11432273,7707196,1596546603
1964,238377275,206573961,184768648,148046560,126275123,122157968,110312148,100582271,84530941,72064706,67086056,55808172,43508599,30588805,19810259,11626914,7721653,1629840059
1965,244420063,208231984,190444800,154408478,128039590,123394445,111833142,102727683,87198711,72862620,67689291,56982676,44645784,31486899,20168995,11738731,7539693,1663813585
1966,252150187,212007788,194323186,160673761,130671756,123694441,113340754,104212596,89663364,74004701,67753617,57961623,45625508,32393717,20726018,12073272,8122292,1699398581
1967,257129450,216906355,197233460,167783887,134453386,123457714,115380825,105340063,92314895,75840143,67543320,59123631,46620050,33394837,21324150,12333307,8587307,1734766780
1968,260189773,222784103,199584685,175213860,139199955,123197800,117623817,106295829,94995173,78212876,67328441,60338577,47653035,34476101,21970132,12561501,8889028,1770514686
1969,262831773,229010346,202285117,182186916,144768719,123785835,119599615,107489742,97548124,80895562,67579026,61428376,48805858,35633288,22698206,12816719,8995976,1808359198
1970,265950300,234327900,205844218,187961612,150843467,125533672,120848297,108991389,99717875,83616851,68488605,62193644,50043665,36795992,23497235,13110098,8874407,1846639227
1971,269457625,239952524,209964917,192225922,157729943,128391256,121471587,110790562,101363559,86231980,69792727,62349341,51083293,37728505,24337821,13623269,9499577,1885994408
1972,272113068,245127215,214951521,195079662,165245003,132317265,121467838,113028915,102584102,88954278,71709593,62201004,52267622,38636268,25207723,14098807,9972738,1924962622
1973,274231729,249638331,220575459,197183357,172741541,137184174,121342506,115355922,103591083,91623309,74080271,62030848,53454587,39557673,26091133,14545357,10272578,1963499858
1974,275822960,253475069,226357747,199682365,179458046,142858986,121985474,117328696,104814934,94109378,76704520,62313938,54477546,40580223,26989120,15002594,10392426,2002354022
1975,276861247,256512431,231680144,203143943,184832724,149016105,123812642,118602355,106378386,96246966,79371775,63261046,55204118,41704061,27883749,15489689,10306654,2040308035
1976,277798801,260065339,236524152,207233531,188896644,155462115,126392766,119045375,107924692,97684289,81779463,64476299,55372475,42660689,28743811,16164960,11041207,2077266608
1977,277719862,263036627,241221856,212279937,191716427,162599449,130123968,118914791,109988303,98766102,84332328,66295347,55292084,43780822,29554087,16861977,11602314,2114086281
1978,277299740,265351209,245796373,218013520,193947550,169871273,134923417,118704182,112275203,99710187,86904387,68582555,55239621,44967862,30353809,17582450,11970599,2151493937
1979,277516624,266948110,250091500,223845549,196564310,176435491,140504345,119191295,114224934,100839447,89283599,71095779,55604477,46017479,31206552,18294343,12150305,2189814139
1980,279046946,267789358,253765491,229290592,200097345,181734405,146534368,120854554,115464363,102311734,91306162,73643467,56581020,46795630,32155525,18967533,12141361,2228479854
1981,280902128,269319191,256961169,234317696,204493885,186038471,153078014,123694963,115991226,104015024,92755812,75945746,57764326,46960424,33061379,19658307,13155965,2268113726
1982,284749407,270218876,259738958,239117175,209645109,189026249,160207925,127617993,115892549,106165237,93838419,78365550,59465543,46873807,34065762,20223326,14003263,2309215148
1983,289986867,270470874,262065802,243567788,215195151,191240928,167362062,132431514,115688542,108403667,94754410,80755782,61527283,46808200,35050061,20733367,14621170,2350663468
1984,295754169,270497863,263861631,247602204,220664805,193704829,173774362,137879654,116208784,110232063,95851259,82949647,63764214,47134894,35845940,21270843,14970325,2391967486
1985,301671886,271047893,265045749,251275812,225865016,197122438,179060097,143822153,117991285,111444512,97354907,84888675,66097113,48061856,36410404,21887131,15037908,2434084835
1986,309796671,273453692,265429076,254005729,230563468,201113925,182942159,150037199,120594016,111836668,98878027,86150828,68128280,49116312,36602140,22689504,16180508,2477518202
1987,316497616,277320466,265589600,256564570,235143878,205985277,185694835,156933604,124339414,111740366,100916032,87173557,70337309,50624399,36600274,23527244,17086865,2522075306
1988,321751579,282466854,265726326,258834977,239450447,211379146,187869808,163936821,129056791,111627696,103126266,88140508,72591238,52472472,36645899,24314445,17735910,2567127183
1989,325510403,288246165,266441874,260692460,243405677,216794158,190412498,170278676,134481486,112264139,105014678,89349433,74723051,54520919,37042177,24922088,18138001,2612237883
1990,328101479,293812516,268440386,262226089,247112212,222002212,193936556,175576305,140441948,114153025,106346478,90976372,76657462,56700742,37946085,25323788,18294481,2658048136
